id,airportname,nickname,area,iata_airportcode,icao_airportcode,runway,kinds,prefecture_name,cityname,address,lat,lon,officialURL
1,____,,___,WKJ,RJCW,2000_45(08/26),_ ____,___,______,_________________,45.399663,141.7952,https://www.wkj-airport.jp/
2,____,,___,RIS,RJER,1800_45(07/25),____,___,___________,__________________,45.2439967,141.1819364,http://www.town.rishirifuji.hokkaido.jp/rishirifuji/1184.htm
3,____,,___,AKJ,RJEC,2500_60(16/34),_ ____,___,__________,__________________,43.6704264,142.4524193,http://www.aapb.co.jp/
4,____,_________,___,MBE,RJEB,2000_45(14/32),____,___,______,_____________,44.3064018,143.4046474,https://www.ok-m.jp/
5,_____,,___,MMB,RJCM,2500_45(18/36),____,___,_________,___________________,43.8814668,144.1566967,http://www.mmb-airport.co.jp/
6,_____,_______,___,SHB,RJCN,2000_45(08/26),____,___,__________,________________,43.5728777,144.9539675,https://www.nakashibetsu-airport.jp/
7,____,_________,___,KUH,RJCK,2500_45(17/35),_ ____,___,______,_________,43.0448771,144.1937935,https://www.kushiro-airport.co.jp/
8,____,_______,___,OBO,RJCB,2500_45(17/35),_ ____,___,______,_____________-__,42.7312629,143.2155934,http://obihiro-airport.com/
9,______,,___,SPK,RJCO,1500_45(14/32),_____,___,______,_____________,43.1107843,141.3802192,https://www.okadama-airport.co.jp/
10,____,,___,HKD,RJCH,3000_45(12/30),_ ____,___,______,____________,41.7757083,140.8136335,https://www.airport.ne.jp/
11,_____,,___,CTS,RJCC,"(A)3000_60(01L/19R)
(B)3000_60(01R/19L)",_ ____,___,______,________,42.7821883,141.6868587,http://www.new-chitose-airport.jp/ja/
12,____,,___,OIR,RJEO,1500_45(12/30),____,___,_________,________________,42.0715323,139.4309049,http://www.town.okushiri.lg.jp/hotnews/detail/00001538.html
13,____,,__,AOJ,RJSA,3000_60(06/24),____,___,______,_______________,40.7354626,140.6882238,https://www.aomori-airport.co.jp/
14,____,,__,MSJ,RJSM,3050_45(10/28),_____,___,______,__________________,40.6964936,141.3854839,http://www.misawa-airport.co.jp/
15,____,_______,__,HNA,RJSI,2500_45(02/20),____,___,______,__________________,39.4286156,141.1332149,https://www.hna-terminal.co.jp/
16,____,,__,AXT,RJSK,2500_60(10/28),_ ____,___,______,______________,39.612008,140.2179753,http://www.akita-airport.com/
