id,airportname,nickname,area,iata_airportcode,icao_airportcode,runway,kinds,prefecture_name,cityname,address,lat,lon,officialURL
1,稚内空港,,北海道,WKJ,RJCW,2000×45(08/26),拠 点（国）,北海道,北海道稚内市,北海道稚内市大字声問村声問6744,45.399663,141.7952,https://www.wkj-airport.jp/
2,利尻空港,,北海道,RIS,RJER,1800×45(07/25),地方管理,北海道,北海道利尻郡利尻富士町,北海道利尻富士町鴛泊本泊1143番地,45.2439967,141.1819364,http://www.town.rishirifuji.hokkaido.jp/rishirifuji/1184.htm
3,旭川空港,,北海道,AKJ,RJEC,2500×60(16/34),拠 点（地）,北海道,北海道上川郡東神楽町,北海道上川郡東神楽町東2線16−98,43.6704264,142.4524193,http://www.aapb.co.jp/
4,紋別空港,オホーツク紋別空港,北海道,MBE,RJEB,2000×45(14/32),地方管理,北海道,北海道紋別市,北海道紋別市小向19番地3,44.3064018,143.4046474,https://www.ok-m.jp/
5,女満別空港,,北海道,MMB,RJCM,2500×45(18/36),地方管理,北海道,北海道網走郡大空町,北海道網走郡大空町女満別中央201−3,43.8814668,144.1566967,http://www.mmb-airport.co.jp/
6,中標津空港,根室中標津空港,北海道,SHB,RJCN,2000×45(08/26),地方管理,北海道,北海道標津郡中標津町,北海道標津郡中標津町北中16−9,43.5728777,144.9539675,https://www.nakashibetsu-airport.jp/
7,釧路空港,たんちょう釧路空港,北海道,KUH,RJCK,2500×45(17/35),拠 点（国）,北海道,北海道釧路市,北海道釧路市鶴丘2,43.0448771,144.1937935,https://www.kushiro-airport.co.jp/
8,帯広空港,とかち帯広空港,北海道,OBO,RJCB,2500×45(17/35),拠 点（地）,北海道,北海道帯広市,北海道帯広市泉町西9線中8-41,42.7312629,143.2155934,http://obihiro-airport.com/
9,札幌丘珠空港,,北海道,SPK,RJCO,1500×45(14/32),陸自・共用,北海道,北海道札幌市,北海道札幌市東区丘珠町63,43.1107843,141.3802192,https://www.okadama-airport.co.jp/
10,函館空港,,北海道,HKD,RJCH,3000×45(12/30),拠 点（国）,北海道,北海道函館市,北海道函館市高松町511,41.7757083,140.8136335,https://www.airport.ne.jp/
11,新千歳空港,,北海道,CTS,RJCC,"(A)3000×60(01L/19R)
(B)3000×60(01R/19L)",拠 点（国）,北海道,北海道千歳市,北海道千歳市美々,42.7821883,141.6868587,http://www.new-chitose-airport.jp/ja/
12,奥尻空港,,北海道,OIR,RJEO,1500×45(12/30),地方管理,北海道,北海道奥尻郡奥尻町,北海道奥尻郡奥尻町米岡185−2,42.0715323,139.4309049,http://www.town.okushiri.lg.jp/hotnews/detail/00001538.html
13,青森空港,,東北,AOJ,RJSA,3000×60(06/24),地方管理,青森県,青森県青森市,青森県青森市大字大谷小谷1−5,40.7354626,140.6882238,https://www.aomori-airport.co.jp/
14,三沢空港,,東北,MSJ,RJSM,3050×45(10/28),米軍・共用,青森県,青森県三沢市,青森県三沢市大字三沢下沢83−198,40.6964936,141.3854839,http://www.misawa-airport.co.jp/
15,花巻空港,いわて花巻空港,東北,HNA,RJSI,2500×45(02/20),地方管理,岩手県,岩手県花巻市,岩手県花巻市東宮野目第2地割53番地,39.4286156,141.1332149,https://www.hna-terminal.co.jp/
16,秋田空港,,東北,AXT,RJSK,2500×60(10/28),拠 点（地）,秋田県,秋田県秋田市,秋田県秋田市雄和椿川山籠49,39.612008,140.2179753,http://www.akita-airport.com/
17,大館能代空港,あきた北空港,東北,ONJ,RJSR,2000×45(11/29),地方管理,秋田県,秋田県北秋田市,秋田県北秋田市脇神苔岱21−144,40.195229,140.3699859,http://www.odate-noshiro-airport.com/
18,庄内空港,おいしい庄内空港,東北,SYO,RJSY,2000×45(09/27),地方管理,山形県,山形県酒田市,山形県酒田市浜中 村東 30−3,38.8157158,139.7857854,https://www.shonai-airport.co.jp/
19,山形空港,おいしい山形空港,東北,GAJ,RJSC,2000×45(01/19),拠 点（地）,山形県,山形県東根市,山形県東根市大字羽入 柏原新林3008,38.4105676,140.3644866,https://www.yamagata-airport.co.jp/
20,仙台空港,,東北,SDJ,RJSS,"(A)1200×45(12/30)
(B)3000×45(09/27)",拠 点（国）,宮城県,宮城県名取市,宮城県名取市下増田南原,38.1397264,140.9147557,https://www.sendai-airport.co.jp/
21,福島空港,,東北,FKS,RJSF,2500×60(01/19),地方管理,福島県,福島県石川郡玉川村,福島県石川郡玉川村大字北須釜鏃田21,37.2269039,140.4262745,https://www.fks-ab.co.jp/
22,茨城空港,,関東,IBR,RJAH,"(A)2700×45(03R/21L)
(B)2700×45(03L/21R)",空自・共用,茨城県,茨城県小美玉市,茨城県小美玉市与沢1601-55,36.1817412,140.4164189,http://www.ibaraki-airport.net/
23,成田国際空港,成田空港,関東,NRT,RJAA,"(A)4000×60(16R/34L)
(B)2500×60(16L/34R)",拠 点（会）,千葉県,千葉県成田市,千葉県成田市古込1-1,35.7738685,140.3872226,https://www.narita-airport.jp/jp/
24,東京国際空港,羽田空港,関東,HND,RJTT,"(A)3000×60(16R/34L)
(C)3000×60(16L/34R)
(B)2500×60(04/22)
(D)2500×60(05/23)",拠 点（国）,東京都,東京都大田区,東京都大田区羽田空港,35.5493385,139.7777406,http://www.tokyo-airport-bldg.co.jp/
25,調布飛行場,,関東,***,RJTF,800×30(17/35),その他,東京都,東京都調布市,東京都調布市西町290-3,35.6720651,139.5266902,
26,大島空港,,関東,OIM,RJTO,1800×45(03/21),地方管理,東京都,東京都大島町,東京都大島町元町北の山270番地,34.7819554,139.3593075,
27,新島空港,,関東,***,RJAN,800×25(11/29),地方管理,東京都,東京都新島村,東京都新島村字川原,34.3694009,139.2679844,
28,神津島空港,,関東,***,RJAZ,800×25(11/29),地方管理,東京都,東京都神津島村,東京都神津島村字字金長,34.190212,139.1342272,
29,三宅島空港,,関東,MYE,RJTQ,1200×30(02/20),地方管理,東京都,東京都三宅村,東京都三宅島三宅村坪田1378番地,34.072162,139.558467,
30,八丈島空港,,関東,HAC,RJTH,1800×45(07/25),地方管理,東京都,東京都八丈町,東京都八丈島八丈町大賀郷2839-2,33.1158691,139.7836535,http://hachijoapo.net/
31,新潟空港,,北陸,KIJ,RJSN,"(A)1314×45(04/22)
(B)2500×45(10/28)",拠 点（国）,新潟県,新潟県新潟市,新潟県新潟市東区松浜町3710,37.9554492,139.1090485,http://www.niigata-airport.gr.jp/
32,富山空港,富山きときと空港,北陸,TOY,RJNT,2000×45(02/20),地方管理,富山県,富山県富山市,富山県富山市秋ヶ島30,36.6465214,137.1851465,http://www.toyama-airport.co.jp/
33,小松空港,,北陸,KMQ,RJNK,2700×45(06/24),空自・共用,石川県,石川県小松市,石川県小松市浮柳町ヨ50,36.3919415,136.4053506,http://www.komatsuairport.jp/
34,能登空港,のと里山空港,北陸,NTQ,RJNW,2000×45(07/25),地方管理,石川県,石川県輪島市,石川県輪島市三井町洲衛10-11-1,37.2952139,136.9553962,http://www.noto-airport.jp/
35,松本空港,信州まつもと空港,中部,MMJ,RJAF,2000×45(18/36),地方管理,長野県,長野県松本市,長野県松本市大字空港東8909,36.1646638,137.9242264,http://www.matsumoto-airport.co.jp/
36,県営名古屋空港,小牧空港,中部,NKM,RJNA,2740×45(16/34),その他,愛知県,愛知県西春日井郡豊山町,愛知県西春日井郡豊山町大字豊場,35.2536367,136.9177708,http://www.nagoya-airport-bldg.co.jp/
37,中部国際空港,セントレア,中部,NGO,RJGG,3500×60(18/36),拠 点（会）,愛知県,愛知県常滑市,愛知県常滑市セントレア1-1,34.8573437,136.793594,http://www.centrair.jp/
38,静岡空港,富士山静岡空港,中部,FSZ,RJNS,2500×60(12/30),地方管理,静岡県,静岡県牧之原市,静岡県牧之原市坂口3336-4,34.7964746,138.1831328,http://www.mtfuji-shizuokaairport.jp/
39,大阪国際空港,伊丹空港,関西,ITM,RJOO,"(A)1828×45(14L/32R)
(B)3000×60(14R/32L)",拠 点（国）, 大阪府,大阪府豊中市,大阪府豊中市螢池西町3丁目555,34.7863123,135.4355808,http://www.osaka-airport.co.jp/
